set,report_id,field,value_a,source_a,value_b,source_b,note
pilot (hand-checked),pge_2021_10_11,first_deenergization,06:00 on 10/11/2021,p4 narrative,01:34 on 10/11/2021 (Corning 1102),p102 Appendix B,Narrative start is 4.5 hours after the first circuit in the table.
pilot (hand-checked),pge_2025_01_20,last_restoration,all restored 1/21 by 14:17 and 100 percent within 24 hours,p8 and p75,shared SCE customers restored 1/24 16:12,p37 notification table,Shared customers restored after the next event.
pilot (hand-checked),sce_2021_11_24,counties_deenergized,6 counties including Kern,p8 introduction,5 counties; Kern in scope only,p22 Section 3,
pilot (hand-checked),sce_2025_09_02,last_restoration,event ended 9/10 16:00 with all restored,p19 Section 3,last circuit restored 9/10 12:49,p62 circuit table,SCE uses the event close time as the restoration time.
pilot (hand-checked),sdge_2021_11_24,first_deenergization,event began 11/24 11:47,p20 Section 3,PSPS activation 11/24 18:00; first circuit 21:53,p6 and p124,Three different start times.
clean15 (hand-checked),r2_pge_2017_2019,customers_deenergized,approximately 177000,p2 and p9 text,176620,p9 Table 2,
clean15 (hand-checked),r2_pge_2017_2019,last_restoration,10/25 18:20,p8 and p9 Table 2,10/25 approximately 18:01,p21 Section 10,
clean15 (hand-checked),r2_pge_2020,mbl_advance_notice,30 de-energized MBL customers without direct notification,p35,51 MBL customers without an attempted notification,p36 Table 3,
clean15 (hand-checked),r2_pge_2023_2024,customers_deenergized (breakdown),112 residential; 92 commercial; 18 AFN; 24 other,p23 Section 3,110 residential; 82 commercial; 17 AFN; 19 other,p76 Appendix B totals,Total 212 agrees; the breakdown does not.
clean15 (hand-checked),r2_pge_2025_2026,first_deenergization,began de-energizing 1/12 22:45,p7 narrative,first circuit 1/12 23:13,p78 Appendix B,
clean15 (hand-checked),r2_pge_2025_2026,customers without notification,one customer did not receive any notification,p9 footnote,three customers unable to receive notifications (invalid contact),p41 Section 5.5,
clean15 (hand-checked),r2_sce_2020,customers_deenergized,36307,p3 executive summary,36037,p22 Section 17,Transposed digits.
clean15 (hand-checked),r2_sce_2020,last_restoration,Atento re-energized 10/28 07:30,p7 circuit table,Atento restored 10/29 11:53,p12 Section 5,The table time is the handoff to the fire restoration team.
clean15 (hand-checked),r2_sce_2021_2022,last_restoration,event ended 10/22 at 3 pm,p8 introduction,restored 10/22 at 4:29 pm,p21 and p41,Page 21 says all restored; page 41 says one seasonal customer was not restored.
clean15 (hand-checked),r2_sce_2023_2024,counties_deenergized,6 counties including Kern,p4 introduction and p6 Table 1,5 counties,p5 executive summary and p18 Section 3,
clean15 (hand-checked),r2_sce_2023_2024,first_deenergization,de-energization started 10/29 06:31,p4 introduction,earliest circuit 10/29 07:42,p20 Table 5,Table 5 lists only 5 of 41 de-energized circuits.
clean15 (hand-checked),r2_sce_2025_2026,first_deenergization and last_restoration,Table 5 circuit times,p19,225 circuits de-energized,p6 At a Glance,Table 5 lists only 5 of 225 circuits; neither time is stated elsewhere.
clean15 (hand-checked),r2_sdge_2017_2019,last_restoration,final restoration 10/20 09:38,p3 table,PSPS Restore message 10/19 14:52,p10 attachment,
clean15 (hand-checked),r2_sdge_2020,customers_deenergized,6797 customer accounts impacted,p11 table and p128 notice,sectionalization averted PSPS impacts for approximately 6797 accounts,p10 Section 5,Same number used for opposite quantities.
clean15 (hand-checked),r2_sdge_2025_2026,counties_deenergized,3 counties,p8 Table 1,4 counties named (San Diego; Orange; Riverside; Imperial),p6 introduction,
clean15 (hand-checked),r2_sdge_2025_2026,customers_deenergized,29980 total customers,p6 and p8,27015 unique customers,p6,Both stated; total counts customers de-energized twice.
accuracy10 (hand-checked),sce__sce_post_event_reporting_september_4_through_september_8_2019,customers_deenergized,approximately 650,p3 executive summary,632 (240 + 392),p5 circuit details,Amended report.
automatic,pge__pge_esrb8_report_for_oct_26_29_2019,customers_deenergized (stated totals),967700,PDF page 18,3900,PDF page 2,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__pge_public_safety_power_shutoff_oct_56_2019_report,customers_deenergized (stated totals),1400,PDF page 15,67,PDF page 17,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__public_safety_power_shutoff_sept_25_27_2019,customers_deenergized (stated totals),123000,PDF page 32,485,PDF page 55,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__pge_oct_14_17_2020_psps_post_event_report,customers_deenergized (stated totals),40574,PDF page 9,964,PDF page 60,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__pge_october_11_2021_psps_post_event_report,customers_deenergized (stated totals),23504,PDF page 4,341,PDF page 62,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__pspsreportletter092021,customers_deenergized (stated totals),2968,PDF page 4,750,PDF page 85,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__10_17_2024_psps_post_event_report,customers_deenergized (stated totals),17367,PDF page 4,17,PDF page 27,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__pge11052024pspsposteventreport,customers_deenergized (stated totals),21365,PDF page 18,21357; 15,PDF page 5; PDF page 35,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__r1812005_pge06192025_psps_post_event_report_072125,customers_deenergized (stated totals),16223,PDF page 4,12,PDF page 27,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__r1812005pge1132025_psps_postevent_report01020224,customers_deenergized (stated totals),583,PDF page 8,14,PDF page 27,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__r1812005pge1202025_psps_postevent_report02042025,customers_deenergized (stated totals),583,PDF page 7,12,PDF page 26,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,pge__r1812005pge1222025_psps_postevent_report02072025,customers_deenergized (stated totals),583,PDF page 8,12,PDF page 25,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,customers_deenergized (stated totals),64963,PDF page 4,30309,PDF page 6,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__sce_post_event_reporting_september_4_through_september_8_2019,customers_deenergized (stated totals),392,PDF page 5,240,PDF page 5,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__sce_psps_postevent_report_oct_1221_2019_1112019,customers_deenergized (stated totals),132,PDF page 7,10,PDF page 9,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__sce_psps_postevent_reportoct_212_2019_10252019,customers_deenergized (stated totals),24112,PDF page 18,6554,PDF page 9,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__nov_14_18_2020_sce_psps_post_event_report,customers_deenergized (stated totals),517,PDF page 3,397,PDF page 5,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__nov_24_28_2020_sce_psps_post_event_report,customers_deenergized (stated totals),20687,PDF page 3,4999,PDF page 5,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__jan_1221_2021_sce_psps_post_event_report,customers_deenergized (stated totals),114341,PDF page 3,91382,PDF page 7,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__r1812005_sce_psps_postevent_report_for_112121,customers_deenergized (stated totals),5235,PDF page 8,2021,PDF page 99,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__r1812005_sce_psps_postevent_report_for_112421,customers_deenergized (stated totals),78514,PDF page 8,429; 265,PDF page 41; PDF page 41,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__r1812005_sce_psps_postevent_report_for_11092023_deenergization_event,customers_deenergized (stated totals),338,PDF page 6,89,PDF page 36,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
automatic,sce__20250120sce_psps_post_event_reportdeenergizedfinal,last_restoration,2025-01-27 14:34,workbook T05,2025-01-27 16:00,PDF page 18,Workbook circuit table vs PDF statement.
automatic,sdge__sdge_post_event_psps_report_october_20november_1_0,customers_deenergized (stated totals),431,PDF page 828,191; 21,PDF page 829; PDF page 952,Candidate: several different totals stated as customers de-energized. Some are partial counts (for example per phase); not hand-checked.
