item,reason,report_id,utility,event_year,field,question,options,answer,confidence,page_refs,document_url,detail
1,conflicting_sources,pge__10_17_2024_psps_post_event_report,PG&E,2024,numeric fields,The extracted version is a redline; check that no struck (deleted) value was used.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20241017-amended-redlined.pdf,
2,conflicting_sources,pge__pge_psps_post_event_report_20240702,PG&E,2024,numeric fields,The extracted version is a redline; check that no struck (deleted) value was used.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702-amended-redlined.pdf,
3,conflicting_sources,pge__r1812005psps_event_93010152024,PG&E,2024,numeric fields,The extracted version is a redline; check that no struck (deleted) value was used.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20240930-amended-redlined.pdf,
4,conflicting_sources,sce__20231029_sce_psps_post_event_reportdeenergizedfinal,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/20231029-sce-psps-post-event-reportdeenergizedfinal.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005sce-amendment-to-psps-post-event-report-for-102923-deenergization-event-1.pdf ; https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
5,conflicting_sources,sce__20250120sce_psps_post_event_reportdeenergizedfinal,SCE,2025,last_restoration,Which last restoration is right?,,2025-01-27 14:34,,18,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/20250120sce-psps-post-event-reportdeenergizedfinal.pdf,workbook 2025-01-27 14:34 (sheet T05 row 27) vs PDF 2025-01-27 16:00 (page 18)
6,conflicting_sources,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,SCE,2025,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-15-2025-de--energization.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250715sce-psps-post-event-reportdeenergizedamendment2final.pdf
7,conflicting_sources,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,SCE,2025,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-1-2025-de--energization.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250701sce-psps-post-event-reportdeenergizedamendment2final.pdf ; https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250701_sce_psps_post_event_report-de-energized_amendment2-final.pdf
8,conflicting_sources,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,SCE,2025,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-23-2025-de--energization.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250723sce-psps-post-event-reportdeenergizedamendment2final.pdf
9,conflicting_sources,sce__r1812005_sce_psps_post_event_report_for_11_20_23_de_energization_event,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-11-20-23-de-energization-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
10,conflicting_sources,sce__r1812005_sce_psps_post_event_report_for_11_26_23_high_threat_event,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-11-26-23-high-threat-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
