item,overlap,report_id,utility,event_year,field,reason,question,options,page_refs,document_url,detail,reviewer,decision_value,decision_pages,matches_jev,notes,minutes_spent
174,no,pge__10_17_2024_psps_post_event_report,PG&E,2024,mbl_advance_notice,low_confidence,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,4;5;9;27;54;55;56;57,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20241017-amended-redlined.pdf,,A,,,,,
1,no,pge__10_17_2024_psps_post_event_report,PG&E,2024,numeric fields,conflicting_sources,The extracted version is a redline; check that no struck (deleted) value was used.,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20241017-amended-redlined.pdf,,A,,,,,
224,no,pge__jan_19_2021_pge_post_event_report,PG&E,2021,complaints_reported,low_confidence,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,3;4;5;47;48;57,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf,,A,,,,,
152,no,pge__jan_19_2021_pge_post_event_report,PG&E,2021,mbl_advance_notice,low_confidence,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,4;5;9;10;29;33;34;36,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf,,A,,,,,
166,no,pge__jan_19_2021_pge_post_event_report,PG&E,2021,wind_threshold_cited,low_confidence,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,4;5;15;16;55;60;64;67,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf,,A,,,,,
220,no,pge__pge_oct_14_17_2020_psps_post_event_report,PG&E,2020,wind_threshold_cited,low_confidence,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,4;5;14;15;66;68;70;71,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-14-17-2020-psps-post-event-report.pdf,,A,,,,,
185,yes,pge__pge_oct_21_23_2020_psps_post_event_report,PG&E,2020,mbl_advance_notice,low_confidence,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,4;5;10;11;25;30;31;34,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-21-23-2020-psps-post-event-report.pdf,,A,,,,,
195,no,pge__pge_october_11_2021_psps_post_event_report,PG&E,2021,mbl_advance_notice,low_confidence,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,4;5;6;43;44;50;51;52,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-11-2021-psps-post-event-report.pdf,,A,,,,,
29,no,pge__pge_post_event_report_9302023_event,PG&E,2023,canceled_after_notice,no_matching_page,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,,A,,,,,
30,no,pge__pge_post_event_report_9302023_event,PG&E,2023,claims_reported,no_matching_page,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,,A,,,,,
31,no,pge__pge_post_event_report_9302023_event,PG&E,2023,complaints_reported,no_matching_page,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,,A,,,,,
