report_id,field,gold,gold_pages,certain,note
r2_pge_2017_2019,mbl_advance_notice,some_not_notified,17,yes,15 of about 1900 de-energized customers with no notification were MBL.
r2_pge_2017_2019,wind_threshold_cited,not_stated,21,no,Only says winds decreased below outage-producing thresholds at all clear.
r2_pge_2017_2019,complaints_reported,not_stated,20,yes,Complaints deferred to the October 26 event report.
r2_pge_2017_2019,claims_reported,one_or_more,20,yes,22 claims.
r2_pge_2017_2019,canceled_after_notice,yes,17,yes,Some customers came out of scope including Sutter County.
r2_pge_2017_2019,customers_deenergized,177000|176620,2;9,no,Text says approximately 177000; Table 2 totals 176620.
r2_pge_2017_2019,first_deenergization,2019-10-23 13:54,8;9,yes,
r2_pge_2017_2019,last_restoration,2019-10-25 18:20,8;9,no,Section 10 (page 21) says all restored at approximately 1801.
r2_pge_2017_2019,counties_deenergized,17,23,no,Stated only in the CRC section as 17 impacted counties.
r2_pge_2020,mbl_advance_notice,some_not_notified,35;36,yes,30 de-energized MBL customers had no direct notification.
r2_pge_2020,wind_threshold_cited,not_stated,10;60,no,Gusts up to 89 mph and model guidance; no statement that wind met a threshold.
r2_pge_2020,complaints_reported,zero,49,no,Zero complaints received from the CPUC; other channels not reported.
r2_pge_2020,claims_reported,one_or_more,49,yes,58 claims.
r2_pge_2020,canceled_after_notice,yes,32;33,yes,Cancellations sent to about 7500 and 103000 customers.
r2_pge_2020,customers_deenergized,345470,10;26,yes,
r2_pge_2020,first_deenergization,2020-10-25 10:00,84,yes,Appendix A minimum.
r2_pge_2020,last_restoration,2020-10-28 22:25,95,yes,Appendix A maximum (Silverado 2104).
r2_pge_2020,counties_deenergized,35,25,yes,
r2_pge_2021_2022,mbl_advance_notice,some_not_notified,50,yes,58 of 234 de-energized MBL had no notification attempted (Table 6).
r2_pge_2021_2022,wind_threshold_cited,not_stated,74,no,No statement that wind met a threshold.
r2_pge_2021_2022,complaints_reported,one_or_more,73,yes,Table 17.
r2_pge_2021_2022,claims_reported,one_or_more,73,yes,1 claim.
r2_pge_2021_2022,canceled_after_notice,yes,5;6,yes,Table 1: 14848 cancelled.
r2_pge_2021_2022,customers_deenergized,2968,6;38,yes,
r2_pge_2021_2022,first_deenergization,2021-09-20 06:05,94,yes,
r2_pge_2021_2022,last_restoration,2021-09-21 16:46,94,yes,
r2_pge_2021_2022,counties_deenergized,8,6;38,yes,
r2_pge_2023_2024,mbl_advance_notice,all_notified,39,yes,9 of 9 de-energized MBL attempted and notified (Table 6).
r2_pge_2023_2024,wind_threshold_cited,not_stated,56,no,TP 5 de-energized for catastrophic fire behavior factors; no wind threshold statement.
r2_pge_2023_2024,complaints_reported,one_or_more,55,yes,Table 16.
r2_pge_2023_2024,claims_reported,zero,55,yes,No claims as of July 25 2024.
r2_pge_2023_2024,canceled_after_notice,yes,7,yes,Table 1 cancelled count and cancel notices.
r2_pge_2023_2024,customers_deenergized,212,4;23,yes,
r2_pge_2023_2024,first_deenergization,2024-07-20 14:37,4;76,yes,
r2_pge_2023_2024,last_restoration,2024-07-21 08:22,76,yes,Last line with customers; a zero-customer transmission line was restored at 08:30.
r2_pge_2023_2024,counties_deenergized,3,23,yes,
