item,overlap,report_id,utility,event_year,field,reason,question,options,page_refs,document_url,detail,reviewer,decision_value,decision_pages,matches_jev,notes,minutes_spent
171,no,pge__07_05_2024_psps_post_event_report_20240719,PG&E,2024,wind_threshold_cited,low_confidence,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,4;5;6;7;8;11;14;44,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/07-05-2024_psps_post-event_report_20240719.pdf,,B,,,,,
231,no,pge__final_psps_10_22_22_weather_post_event_report_20221107,PG&E,2022,wind_threshold_cited,low_confidence,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,4;5;6;7;8;15;16;75,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/final-psps_10-22-22_weather_post-event_report_20221107.pdf,,B,,,,,
23,no,pge__pge_esrb8_report_for_oct_26_29_2019,PG&E,2019,table pages,unreadable_page,Relevant table page(s) could not be read; check the fields that depend on them.,,210;215;216;217;218,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-2629-2019-amended.pdf,p210 Table 1-9: Message for Overnight Shutoff Notification (not_transcribed_cap); p215 Table 1-12: Message for Primary Voltage Customer Notifications (not_transcribed_cap); p216 Table 1-13: Message for Cancellation Notification (not_transcribed_cap); p217 Table 1-15: Kern County Special Notification – Weather Continues (not_transcribed_cap); p218 Table 1-16: Kincade Fire Extended Outage Special Notification (not_transcribed_cap),B,,,,,
261,no,pge__pge_esrb8_report_for_oct_26_29_2019,PG&E,2019,wind_threshold_cited,low_confidence,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,5;6;10;11;37;38;40;43,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-2629-2019-amended.pdf,,B,,,,,
185,yes,pge__pge_oct_21_23_2020_psps_post_event_report,PG&E,2020,mbl_advance_notice,low_confidence,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,4;5;10;11;25;30;31;34,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-21-23-2020-psps-post-event-report.pdf,,B,,,,,
221,no,pge__pge_oct_25_28_2020_psps_post_event_report,PG&E,2020,wind_threshold_cited,low_confidence,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,4;5;15;16;60;69;72;74,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-25-28-2020-psps-post-event-report.pdf,,B,,,,,
76,no,pge__pge_october_14_16_2021_psps_post_event_report,PG&E,2021,mbl_advance_notice,low_confidence,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,7;8;9;38;41;42;47;48,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-14-16-2021-psps-post-event-report.pdf,,B,,,,,
140,yes,pge__pge_psps_post_event_report_20240702,PG&E,2024,mbl_advance_notice,low_confidence,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,4;5;6;37;38;39;40;45,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702-amended-redlined.pdf,,B,,,,,
2,yes,pge__pge_psps_post_event_report_20240702,PG&E,2024,numeric fields,conflicting_sources,The extracted version is a redline; check that no struck (deleted) value was used.,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702-amended-redlined.pdf,,B,,,,,
205,yes,pge__pge_psps_post_event_report_20240702,PG&E,2024,wind_threshold_cited,low_confidence,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,4;5;6;7;8;18;19;67,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702-amended-redlined.pdf,,B,,,,,
